source;from_user
-19732513;-10707271
-19732513;11644816
-19732513;-40625854
-19732513;-61323
-19732513;34381222
-19732513;-61478463
-19732513;-38905160
-19732513;21749254
-19732513;246790676
-19732513;226253147
-19732513;-118965376
-19732513;-10707271
-19732513;2315235
-19732513;65605296
-19732513;3706604
-19732513;-22950409
-19732513;67829033
-19732513;-49531534
-19732513;104130438
-19732513;189250851
-19732513;43035163
-19732513;655000
-19732513;134699100
-19732513;26347766
-19732513;-101325031
-19732513;-5372656
-19732513;215689767
-19732513;200628095
-19732513;20471557
-19732513;371411273
-19732513;299122362
-19732513;71128446
-19732513;-23763416
-19732513;24794428
-19732513;9213917
-19732513;231861378
-19732513;8976065
-19732513;143646039
-19732513;4822232
-19732513;50934877
-19732513;152186816
-19732513;230195741
-19732513;89681528
-19732513;-30596187
-19732513;116062222
-19732513;70180222
-19732513;-46887879
-19732513;733649
-19732513;85108036
-19732513;-89260740
-19732513;-85143979
-19732513;-79743228
-19732513;-67839473
-19732513;-60313753
-19732513;-56479242
-19732513;-48340329
-19732513;-46754575
-19732513;-37024113
-19732513;-34634314
-19732513;-34440083
-19732513;-24521719
-19732513;-16239674
-19732513;-7052416
-19732513;-5096716
-19732513;-2122440
-19732513;-201772
-19732513;28472
-19732513;173020
-19732513;245100
-19732513;406400
-19732513;543100
-19732513;606891
-19732513;984559
-19732513;1038778
-19732513;1342522
-19732513;1396426
-19732513;1435228
-19732513;1501224
-19732513;1625276
-19732513;1698113
-19732513;1742580
-19732513;1856642
-19732513;2374585
-19732513;2504660
-19732513;2964854
-19732513;3181803
-19732513;3497286
-19732513;3551963
-19732513;4651135
-19732513;5802959
-19732513;6434489
-19732513;6684119
-19732513;7002687
-19732513;7106209
-19732513;7133747
-19732513;7237092
-19732513;7427453
-19732513;7548215
-19732513;7808562
-19732513;8008200
-19732513;8375983
-19732513;8532506
-19732513;8684997
231861378;8694641
-19732513;9622026
-19732513;9692241
-19732513;9831732
-19732513;10161659
-19732513;10378715
-19732513;11015556
-19732513;12471275
-19732513;12657689
-19732513;13022322
-19732513;13026203
-19732513;13657497
-19732513;14182143
-19732513;14279580
-19732513;14312929
-19732513;14355876
231861378;15010769
-19732513;15541748
-19732513;16683855
-19732513;17478104
-19732513;17525646
-19732513;17580670
-19732513;17933262
-19732513;18287101
-19732513;18655162
-19732513;18880652
-19732513;19162226
-19732513;19582981
-19732513;19627530
-19732513;21002894
-19732513;21608538
-19732513;21680242
-19732513;21860191
-19732513;22530020
-19732513;23253664
-19732513;23960499
-19732513;24515142
-19732513;25079190
-19732513;25967872
-19732513;26119845
-19732513;26314378
-19732513;26534393
-19732513;27923293
-19732513;28788733
-19732513;30004649
-19732513;31097186
-19732513;31665570
-19732513;32300498
-19732513;32451833
-19732513;34096646
-19732513;34724081
-19732513;35569944
-19732513;35818178
-19732513;36470994
-19732513;36622678
-19732513;36860963
-19732513;38203124
-19732513;38458697
-19732513;38611746
-19732513;38873586
-19732513;39188695
-19732513;39906346
-19732513;40373160
-19732513;40388201
-19732513;41161111
-19732513;41597664
-19732513;41655915
-19732513;42293987
-19732513;42339197
-19732513;42867594
-19732513;44122897
-19732513;44326632
-19732513;45687920
-19732513;45848577
-19732513;46867738
-19732513;48077671
-19732513;48931983
-19732513;49502547
-19732513;49649329
-19732513;50640406
-19732513;51292940
-19732513;52310435
-19732513;53239356
-19732513;53696707
-19732513;54381683
-19732513;55402833
-19732513;56374114
-19732513;57918105
-19732513;61250492
-19732513;62352180
-19732513;62941425
-19732513;64703973
-19732513;66120504
-19732513;66497326
-19732513;66666817
-19732513;68316081
-19732513;69582643
-19732513;70880619
-19732513;72277428
-19732513;73608393
-19732513;74654562
-19732513;76412961
-19732513;77489304
-19732513;78400997
-19732513;78871239
-19732513;79178382
-19732513;79389999
-19732513;80052208
-19732513;81770501
-19732513;82223945
-19732513;84258731
-19732513;85807958
-19732513;86647301
-19732513;87107825
-19732513;87816022
-19732513;88825146
-19732513;89267879
-19732513;89722566
-19732513;90217675
-19732513;91950146
-19732513;92570581
-19732513;93026854
-19732513;94702007
-19732513;95985542
231861378;97156248
-19732513;100030807
-19732513;100464534
-19732513;102246507
231861378;105032242
-19732513;105434516
-19732513;107109485
-19732513;114685937
-19732513;121115970
-19732513;124051933
-19732513;127390128
-19732513;131827641
-19732513;132065297
-19732513;132195452
-19732513;132475890
-19732513;134201674
-19732513;134282300
-19732513;135753980
-19732513;135807927
-19732513;136616451
-19732513;137853198
-19732513;137943472
-19732513;138900803
-19732513;139086550
-19732513;139129854
-19732513;139436521
-19732513;139933063
-19732513;141848022
-19732513;142047822
-19732513;143407024
-19732513;144488004
-19732513;146935063
-19732513;150372248
-19732513;150660828
-19732513;151275537
-19732513;152474080
-19732513;154473694
-19732513;155124497
-19732513;155731952
-19732513;156103215
-19732513;157203667
-19732513;157669606
-19732513;158333525
-19732513;158498757
-19732513;158945396
-19732513;159668625
-19732513;160090779
-19732513;168443392
-19732513;170352974
-19732513;172060156
-19732513;172832956
-19732513;172872823
-19732513;176312729
-19732513;178633964
-19732513;178652496
-19732513;179771410
-19732513;180150145
-19732513;180719706
-19732513;181457488
-19732513;182233956
-19732513;182870717
-19732513;183820241
-19732513;184754089
-19732513;187450599
-19732513;187888339
-19732513;189391291
-19732513;189806130
-19732513;192557212
-19732513;194100858
-19732513;194556151
-19732513;196467817
-19732513;198376871
-19732513;200071288
-19732513;200602055
-19732513;200747616
-19732513;202442890
-19732513;202924241
-19732513;203433047
-19732513;204064169
-19732513;204534663
-19732513;207600137
-19732513;208115469
-19732513;210771017
-19732513;212168931
-19732513;215360695
-19732513;215737894
-19732513;215878977
-19732513;216949154
-19732513;217800984
-19732513;220961823
-19732513;221241680
-19732513;221397229
-19732513;221634753
-19732513;222043727
-19732513;222873863
-19732513;224322050
-19732513;224917850
-19732513;225198948
-19732513;226463503
-19732513;227253138
-19732513;228521842
231861378;229335784
-19732513;229705764
-19732513;229992268
-19732513;231667812
-19732513;233586729
-19732513;233939769
-19732513;234174384
-19732513;236080184
-19732513;240749861
-19732513;243090326
-19732513;243408352
-19732513;244964751
-19732513;245029984
-19732513;245196005
-19732513;247320810
-19732513;247701020
-19732513;248885478
-19732513;249562754
-19732513;250427691
-19732513;251779534
-19732513;253123908
-19732513;253317716
-19732513;253368805
-19732513;253782203
-19732513;254140175
-19732513;255989822
-19732513;261078476
-19732513;261080147
-19732513;261095974
-19732513;261244734
-19732513;261298742
-19732513;262500353
-19732513;265345091
-19732513;265717673
-19732513;266990280
-19732513;268834860
-19732513;271976491
-19732513;276114992
-19732513;277629177
-19732513;278067852
-19732513;281870997
-19732513;282806545
-19732513;283373444
-19732513;283948486
-19732513;287257613
-19732513;288105925
-19732513;291775781
-19732513;292096374
-19732513;292758013
-19732513;298368870
-19732513;306803628
-19732513;309360655
-19732513;309369923
-19732513;310003317
-19732513;314525947
-19732513;316131061
-19732513;317508489
-19732513;319842602
-19732513;323832770
-19732513;325110224
-19732513;332547181
-19732513;333078170
-19732513;333632359
-19732513;335023446
-19732513;337178852
-19732513;337220243
-19732513;341774485
-19732513;343373797
-19732513;348171681
-19732513;349448899
-19732513;349601756
-19732513;357410441
-19732513;358952368
-19732513;359124317
-19732513;366245351
-19732513;376234094
-19732513;376614711
-19732513;378505113
-19732513;380270771
-19732513;388765866
-19732513;393571113
-19732513;395466414
-19732513;400716432
-19732513;403293710
-19732513;403766049
-19732513;413261798
-19732513;414568513
-19732513;420695197
-19732513;422806051
-10707271;16247876
-10707271;291159569
-40625854;52916558
-40625854;60621509
-61323;9563462
-61323;107761420
-61478463;235778717
-61478463;406525009
-38905160;38020792
246790676;19827291
246790676;2889535
246790676;58444007
246790676;345223868
-118965376;3670462
-118965376;141904443
-10707271;254124823
-10707271;136490146
-10707271;418668276
-10707271;368115655
-49531534;361641143
-49531534;243323522
134699100;156086561
-101325031;151196243
-101325031;41900964
-101325031;173691409
-5372656;255542167
200628095;92399853
200628095;320970883
299122362;410532809
-23763416;221465244
-23763416;42932433
-23763416;58602867
-23763416;69453362
-23763416;155400537
-23763416;201865337
-23763416;252079540
-23763416;283361983
-23763416;295513326
24794428;25317208
9213917;3647021
231861378;-132068601
231861378;213366691
8976065;153481484
8976065;7782798
8976065;48721021
8976065;181316639
8976065;298811715
143646039;363962829
152186816;-11810438
152186816;215247914
116062222;4204633
116062222;135585595
116062222;277632067
70180222;30153815
70180222;44581508
70180222;293951374
-46887879;3989914
-46887879;30690690
-46887879;386893559
-67839473;76720877
-46754575;1091274
-46754575;172364075
-46754575;28986883
-46754575;878298
-46754575;132435674
-46754575;45027486
-46754575;5294114
-34634314;2328457
-34440083;58403164
984559;89834709
1038778;246270858
1342522;182156062
1396426;20324197
1396426;20720330
1501224;32855869
1501224;178918588
1625276;34359618
1625276;11296088
1625276;1785825
1698113;19100381
1742580;31937365
1742580;372965274
1856642;78104318
1856642;213053291
3181803;-8193289
3181803;16104896
3551963;18472746
6434489;199317968
6434489;237686494
8532506;18476901
11015556;155541896
13657497;58560752
13657497;50227531
19582981;3758533
19627530;944543
21860191;102299102
21860191;133775558
23253664;-24657583
25967872;205393242
31097186;10622299
31097186;73401977
31665570;22803846
38458697;65686227
39906346;49429073
40388201;216212569
41655915;56834067
42293987;186712915
48077671;42290242
49649329;38702964
55402833;355376475
73608393;377620643
76412961;119232138
78871239;-147791
79389999;187080292
87816022;418321542
95985542;162553888
114685937;90261603
114685937;209534667
127390128;25775672
137853198;55295780
137943472;38558966
137943472;83258184
137943472;127462611
137943472;221784994
137943472;376378123
146935063;9623862
156103215;333036987
157669606;182108146
158945396;266090714
172832956;58276212
180150145;-73921861
182870717;-33886169
182870717;116951255
184754089;44767377
194556151;150577639
194556151;320015056
196467817;81460002
200071288;11972268
203433047;321410900
215360695;61206384
221634753;927431
224917850;156183139
224917850;208938759
224917850;156488760
224917850;31941016
224917850;25009918
225198948;87939480
225198948;-40973946
226463503;13286399
228521842;229987990
229335784;199228103
229992268;72495552
229992268;402500173
244964751;213687324
244964751;214309603
244964751;328364704
248885478;2275231
253782203;191647335
255989822;12245267
261244734;217340428
265717673;203433047
265717673;213443060
266990280;104630856
266990280;144958382
266990280;235125845
266990280;236477239
266990280;300064251
278067852;2869338
278067852;107544472
282806545;15639110
337178852;318741960
341774485;-62535277
341774485;156828767
348171681;270714295
348171681;308125414
358952368;49339280
9563462;134211868
107761420;161056612
235778717;145438062
345223868;343603039
151196243;17363091
41900964;184421708
410532809;315421830
155400537;901396
283361983;219214985
283361983;332785920
25317208;1615235
-132068601;178513019
153481484;234065594
181316639;33797390
363962829;175545562
363962829;266026792
-11810438;138973649
-11810438;268758439
215247914;84192025
293951374;93877815
3989914;270530753
28986883;153081751
20324197;185921413
20324197;140890336
32855869;141924006
11296088;299952002
1785825;206198807
18472746;88346502
199317968;81507139
18476901;55284608
216212569;65453408
186712915;276920859
38702964;19650076
38702964;248499612
38702964;7112299
119232138;61177967
-147791;-120875327
-147791;-88482886
-147791;-58247063
-147791;1188677
-147791;5158068
-147791;5897781
-147791;6708282
-147791;41603170
-147791;47251274
-147791;51774167
-147791;114118383
-147791;129170999
-147791;182277648
-147791;188028317
-147791;213787874
-147791;233772804
-147791;244427273
-147791;279296516
-147791;338922031
-147791;346445741
-147791;357292801
209534667;175775458
376378123;178620743
376378123;188893329
-73921861;2271717
-73921861;4784604
-73921861;5761043
-73921861;12102160
-73921861;12856622
-73921861;60337684
-73921861;95447355
-73921861;132963685
-73921861;137881055
-73921861;146855634
-73921861;175678555
-73921861;191511372
-73921861;236257314
-73921861;390112743
-73921861;414984245
116951255;323214618
44767377;179806586
44767377;229073090
320015056;178232643
11972268;6159271
25009918;24084511
72495552;52096973
217340428;311019880
236477239;177152988
2869338;4670951
-62535277;422583768
134211868;57379075
145438062;228928717
145438062;545724
17363091;59772615
175545562;231748218
266026792;175535611
270530753;51288195
140890336;37013518
140890336;86956041
88346502;398894767
81507139;11556357
81507139;196241594
81507139;5548603
19650076;271762600
248499612;14933923
7112299;235407557
61177967;369922178
-120875327;265973548
41603170;222856712
41603170;392054414
129170999;375500069
182277648;39002074
178620743;265086312
188893329;70941157
132963685;169458091
175678555;-92278819
175678555;33634417
175678555;243515920
175678555;301568375
390112743;57639871
414984245;180637913
179806586;347503651
229073090;195327079
545724;2136498
14933923;160272437
14933923;11869500
169458091;307397428
169458091;362890145
243515920;93813487
57639871;69039690
93813487;3905734
93813487;36255225
93813487;167111532
36255225;13162003
13162003;225983723
225983723;134597974
